token1,token2,token3,token4,token5,target
﻿Hello,Joey,.,Hi,Tata,.
Joey,.,Hi,Tata,.,What
.,Hi,Tata,.,What,do
Hi,Tata,.,What,do,you
Tata,.,What,do,you,think
.,What,do,you,think,of
What,do,you,think,of,Donald
do,you,think,of,Donald,J
you,think,of,Donald,J,.
think,of,Donald,J,.,Trump
of,Donald,J,.,Trump,is
Donald,J,.,Trump,is,tariffs
J,.,Trump,is,tariffs,?
.,Trump,is,tariffs,?,I
Trump,is,tariffs,?,I,don’t
is,tariffs,?,I,don’t,like
tariffs,?,I,don’t,like,it
?,I,don’t,like,it,much
I,don’t,like,it,much,because
don’t,like,it,much,because,all
like,it,much,because,all,tariffs
it,much,because,all,tariffs,are
much,because,all,tariffs,are,barriers
because,all,tariffs,are,barriers,","
all,tariffs,are,barriers,",",but
tariffs,are,barriers,",",but,it
are,barriers,",",but,it,might
barriers,",",but,it,might,help
",",but,it,might,help,America
but,it,might,help,America,.
it,might,help,America,.,What
might,help,America,.,What,do
help,America,.,What,do,you
America,.,What,do,you,think
.,What,do,you,think,?
What,do,you,think,?,I
do,you,think,?,I,think
you,think,?,I,think,although
think,?,I,think,although,Trump
?,I,think,although,Trump,is
I,think,although,Trump,is,idea
think,although,Trump,is,idea,of
although,Trump,is,idea,of,recovering
Trump,is,idea,of,recovering,America
is,idea,of,recovering,America,is
idea,of,recovering,America,is,industrial
of,recovering,America,is,industrial,capabilities
recovering,America,is,industrial,capabilities,is
America,is,industrial,capabilities,is,good
is,industrial,capabilities,is,good,","
industrial,capabilities,is,good,",",the
capabilities,is,good,",",the,reality
is,good,",",the,reality,is
good,",",the,reality,is,that
",",the,reality,is,that,American
the,reality,is,that,American,workers
reality,is,that,American,workers,had
is,that,American,workers,had,long
that,American,workers,had,long,lost
American,workers,had,long,lost,their
workers,had,long,lost,their,industrial
had,long,lost,their,industrial,skills
long,lost,their,industrial,skills,.
lost,their,industrial,skills,.,By
their,industrial,skills,.,By,the
industrial,skills,.,By,the,way
skills,.,By,the,way,","
.,By,the,way,",",are
By,the,way,",",are,you
the,way,",",are,you,still
way,",",are,you,still,in
",",are,you,still,in,touch
are,you,still,in,touch,with
you,still,in,touch,with,Ria
still,in,touch,with,Ria,?
in,touch,with,Ria,?,No
touch,with,Ria,?,No,.
with,Ria,?,No,.,Well
Ria,?,No,.,Well,","
?,No,.,Well,",",anyways
No,.,Well,",",anyways,","
.,Well,",",anyways,",",I’m
Well,",",anyways,",",I’m,pretty
",",anyways,",",I’m,pretty,sure
anyways,",",I’m,pretty,sure,she
",",I’m,pretty,sure,she,is
I’m,pretty,sure,she,is,in
pretty,sure,she,is,in,Japan
sure,she,is,in,Japan,right
she,is,in,Japan,right,now
is,in,Japan,right,now,.
in,Japan,right,now,.,Yes
Japan,right,now,.,Yes,","
right,now,.,Yes,",",with
now,.,Yes,",",with,a
.,Yes,",",with,a,new
Yes,",",with,a,new,boyfriend
",",with,a,new,boyfriend,.
with,a,new,boyfriend,.,Do
a,new,boyfriend,.,Do,you
new,boyfriend,.,Do,you,like
boyfriend,.,Do,you,like,Iolani
.,Do,you,like,Iolani,?
Do,you,like,Iolani,?,Iolani
you,like,Iolani,?,Iolani,is
like,Iolani,?,Iolani,is,fine
Iolani,?,Iolani,is,fine,.
?,Iolani,is,fine,.,Classes
Iolani,is,fine,.,Classes,are
is,fine,.,Classes,are,a
fine,.,Classes,are,a,bit
.,Classes,are,a,bit,stressful
Classes,are,a,bit,stressful,though
are,a,bit,stressful,though,","
a,bit,stressful,though,",",especially
bit,stressful,though,",",especially,since
stressful,though,",",especially,since,I
though,",",especially,since,I,slacked
",",especially,since,I,slacked,off
especially,since,I,slacked,off,a
since,I,slacked,off,a,bunch
I,slacked,off,a,bunch,during
slacked,off,a,bunch,during,the
off,a,bunch,during,the,third
a,bunch,during,the,third,quarter
bunch,during,the,third,quarter,.
during,the,third,quarter,.,You
the,third,quarter,.,You,Chinese
third,quarter,.,You,Chinese,are
quarter,.,You,Chinese,are,putting
.,You,Chinese,are,putting,too
You,Chinese,are,putting,too,much
Chinese,are,putting,too,much,pressure
are,putting,too,much,pressure,on
putting,too,much,pressure,on,yourself
too,much,pressure,on,yourself,.
much,pressure,on,yourself,.,Well
pressure,on,yourself,.,Well,","
on,yourself,.,Well,",",it
yourself,.,Well,",",it,is
.,Well,",",it,is,not
Well,",",it,is,not,only
",",it,is,not,only,the
it,is,not,only,the,Chinese
is,not,only,the,Chinese,.
not,only,the,Chinese,.,I
only,the,Chinese,.,I,think
the,Chinese,.,I,think,it
Chinese,.,I,think,it,is
.,I,think,it,is,just
I,think,it,is,just,Iolani
think,it,is,just,Iolani,culture
it,is,just,Iolani,culture,.
is,just,Iolani,culture,.,Studying
just,Iolani,culture,.,Studying,is
Iolani,culture,.,Studying,is,a
culture,.,Studying,is,a,mindset
.,Studying,is,a,mindset,.
Studying,is,a,mindset,.,You
is,a,mindset,.,You,can
a,mindset,.,You,can,be
mindset,.,You,can,be,what
.,You,can,be,what,you
You,can,be,what,you,want
can,be,what,you,want,to
be,what,you,want,to,be
what,you,want,to,be,","
you,want,to,be,",",just
want,to,be,",",just,envision
to,be,",",just,envision,yourself
be,",",just,envision,yourself,in
",",just,envision,yourself,in,it
just,envision,yourself,in,it,.
envision,yourself,in,it,.,And
yourself,in,it,.,And,I
in,it,.,And,I,think
it,.,And,I,think,the
.,And,I,think,the,background
And,I,think,the,background,music
I,think,the,background,music,is
think,the,background,music,is,greatly
the,background,music,is,greatly,enhancing
background,music,is,greatly,enhancing,your
music,is,greatly,enhancing,your,moral
is,greatly,enhancing,your,moral,lesson
greatly,enhancing,your,moral,lesson,experience
enhancing,your,moral,lesson,experience,.
your,moral,lesson,experience,.,Same
moral,lesson,experience,.,Same,?
lesson,experience,.,Same,?,Maybe
experience,.,Same,?,Maybe,.
.,Same,?,Maybe,.,How
Same,?,Maybe,.,How,is
?,Maybe,.,How,is,Iolani
Maybe,.,How,is,Iolani,Fair
.,How,is,Iolani,Fair,?
How,is,Iolani,Fair,?,Iolani
is,Iolani,Fair,?,Iolani,Fair
Iolani,Fair,?,Iolani,Fair,is
Fair,?,Iolani,Fair,is,cool
?,Iolani,Fair,is,cool,","
Iolani,Fair,is,cool,",",but
Fair,is,cool,",",but,working
is,cool,",",but,working,shifts
cool,",",but,working,shifts,from
",",but,working,shifts,from,5
but,working,shifts,from,5,A
working,shifts,from,5,A,.M
shifts,from,5,A,.M,.
from,5,A,.M,.,to
5,A,.M,.,to,5
A,.M,.,to,5,P
.M,.,to,5,P,.M
.,to,5,P,.M,.
to,5,P,.M,.,is
5,P,.M,.,is,kind
P,.M,.,is,kind,of
.M,.,is,kind,of,difficult
.,is,kind,of,difficult,.
is,kind,of,difficult,.,I
kind,of,difficult,.,I,like
of,difficult,.,I,like,Fair;
difficult,.,I,like,Fair;,I
.,I,like,Fair;,I,had
I,like,Fair;,I,had,a
like,Fair;,I,had,a,lot
Fair;,I,had,a,lot,of
I,had,a,lot,of,fun
had,a,lot,of,fun,.
a,lot,of,fun,.,Did
lot,of,fun,.,Did,you
of,fun,.,Did,you,like
fun,.,Did,you,like,the
.,Did,you,like,the,mochisadas
Did,you,like,the,mochisadas,?
you,like,the,mochisadas,?,Yeah
like,the,mochisadas,?,Yeah,","
the,mochisadas,?,Yeah,",",I
mochisadas,?,Yeah,",",I,think
?,Yeah,",",I,think,they’re
Yeah,",",I,think,they’re,better
",",I,think,they’re,better,than
I,think,they’re,better,than,last
think,they’re,better,than,last,year
they’re,better,than,last,year,is
better,than,last,year,is,malasadas
than,last,year,is,malasadas,.
last,year,is,malasadas,.,Probably
year,is,malasadas,.,Probably,because
is,malasadas,.,Probably,because,I
malasadas,.,Probably,because,I,like
.,Probably,because,I,like,mochi
Probably,because,I,like,mochi,a
because,I,like,mochi,a,lot
I,like,mochi,a,lot,.
like,mochi,a,lot,.,And
mochi,a,lot,.,And,because
a,lot,.,And,because,I
lot,.,And,because,I,worked
.,And,because,I,worked,there
And,because,I,worked,there,","
because,I,worked,there,",",I
I,worked,there,",",I,got
worked,there,",",I,got,free
there,",",I,got,free,food
",",I,got,free,food,.
I,got,free,food,.,Were
got,free,food,.,Were,they
free,food,.,Were,they,better
food,.,Were,they,better,than
.,Were,they,better,than,the
Were,they,better,than,the,malasadas
they,better,than,the,malasadas,from
better,than,the,malasadas,from,last
than,the,malasadas,from,last,year
the,malasadas,from,last,year,?
malasadas,from,last,year,?,I
from,last,year,?,I,bought
last,year,?,I,bought,two
year,?,I,bought,two,custard
?,I,bought,two,custard,and
I,bought,two,custard,and,two
bought,two,custard,and,two,without
two,custard,and,two,without,.
custard,and,two,without,.,Did
and,two,without,.,Did,you
two,without,.,Did,you,have
without,.,Did,you,have,any
.,Did,you,have,any,of
Did,you,have,any,of,the
you,have,any,of,the,custard
have,any,of,the,custard,ones
any,of,the,custard,ones,?
of,the,custard,ones,?,I
the,custard,ones,?,I,did
custard,ones,?,I,did,.
ones,?,I,did,.,It
?,I,did,.,It,was
I,did,.,It,was,good
did,.,It,was,good,.
.,It,was,good,.,That
It,was,good,.,That,is
was,good,.,That,is,good
good,.,That,is,good,to
.,That,is,good,to,know
That,is,good,to,know,.
is,good,to,know,.,How
good,to,know,.,How,do
to,know,.,How,do,you
know,.,How,do,you,think
.,How,do,you,think,it
How,do,you,think,it,compares
do,you,think,it,compares,to
you,think,it,compares,to,Punahou
think,it,compares,to,Punahou,Carnival
it,compares,to,Punahou,Carnival,?
compares,to,Punahou,Carnival,?,Well
to,Punahou,Carnival,?,Well,","
Punahou,Carnival,?,Well,",",the
Carnival,?,Well,",",the,food
?,Well,",",the,food,is
Well,",",the,food,is,better
",",the,food,is,better,","
the,food,is,better,",",and
food,is,better,",",and,because
is,better,",",and,because,I
better,",",and,because,I,know
",",and,because,I,know,more
and,because,I,know,more,people
because,I,know,more,people,here
I,know,more,people,here,","
know,more,people,here,",",it
more,people,here,",",it,is
people,here,",",it,is,fun
here,",",it,is,fun,.
",",it,is,fun,.,That
it,is,fun,.,That,makes
is,fun,.,That,makes,sense
fun,.,That,makes,sense,","
.,That,makes,sense,",",though
That,makes,sense,",",though,Punahou
makes,sense,",",though,Punahou,is
sense,",",though,Punahou,is,campus
",",though,Punahou,is,campus,is
though,Punahou,is,campus,is,way
Punahou,is,campus,is,way,bigger
is,campus,is,way,bigger,.
campus,is,way,bigger,.,Yeah
is,way,bigger,.,Yeah,","
way,bigger,.,Yeah,",",it
bigger,.,Yeah,",",it,is
.,Yeah,",",it,is,.
Yeah,",",it,is,.,It
",",it,is,.,It,depends
it,is,.,It,depends,on
is,.,It,depends,on,who
.,It,depends,on,who,I
It,depends,on,who,I,hang
depends,on,who,I,hang,out
on,who,I,hang,out,with
who,I,hang,out,with,.
I,hang,out,with,.,They
hang,out,with,.,They,are
out,with,.,They,are,both
with,.,They,are,both,fun
.,They,are,both,fun,.
They,are,both,fun,.,It
are,both,fun,.,It,is
both,fun,.,It,is,about
fun,.,It,is,about,the
.,It,is,about,the,people
It,is,about,the,people,","
is,about,the,people,",",not
about,the,people,",",not,the
the,people,",",not,the,location
people,",",not,the,location,.
",",not,the,location,.,True
not,the,location,.,True,.
the,location,.,True,.,Last
location,.,True,.,Last,time
.,True,.,Last,time,when
True,.,Last,time,when,you
.,Last,time,when,you,went
Last,time,when,you,went,to
time,when,you,went,to,Punahou
when,you,went,to,Punahou,Carnival
you,went,to,Punahou,Carnival,","
went,to,Punahou,Carnival,",",did
to,Punahou,Carnival,",",did,you
Punahou,Carnival,",",did,you,go
Carnival,",",did,you,go,with
",",did,you,go,with,friends
did,you,go,with,friends,?
you,go,with,friends,?,I
go,with,friends,?,I,went
with,friends,?,I,went,with
friends,?,I,went,with,a
?,I,went,with,a,freshman
I,went,with,a,freshman,girl
went,with,a,freshman,girl,.
with,a,freshman,girl,.,Interesting
a,freshman,girl,.,Interesting,.
freshman,girl,.,Interesting,.,That
girl,.,Interesting,.,That,Italian
.,Interesting,.,That,Italian,dorm
Interesting,.,That,Italian,dorm,girl
.,That,Italian,dorm,girl,?
That,Italian,dorm,girl,?,No
Italian,dorm,girl,?,No,.
